index,year,month,day,hour,minute,target_temp
192,2018,3,11,10,54,7
193,2018,3,11,11,9,7
194,2018,3,11,11,24,7
195,2018,3,11,11,39,7
196,2018,3,11,11,54,7
197,2018,3,11,12,9,7
198,2018,3,11,12,24,7
199,2018,3,11,12,39,7
200,2018,3,11,12,54,7
201,2018,3,11,13,9,7
202,2018,3,11,13,24,7
203,2018,3,11,13,39,7
204,2018,3,11,13,54,7
205,2018,3,11,14,9,7
206,2018,3,11,14,24,7
207,2018,3,11,14,39,7
208,2018,3,11,14,54,7
209,2018,3,11,15,9,7
210,2018,3,11,15,24,7
211,2018,3,11,15,39,7
212,2018,3,11,15,54,7
213,2018,3,11,16,9,7
214,2018,3,11,16,24,7
215,2018,3,11,16,39,7
216,2018,3,11,16,54,7
217,2018,3,11,17,9,7
218,2018,3,11,17,24,7
219,2018,3,11,17,39,7
220,2018,3,11,17,54,7
221,2018,3,11,18,9,7
222,2018,3,11,18,24,7
223,2018,3,11,18,39,7
224,2018,3,11,18,54,7
225,2018,3,11,19,9,7
226,2018,3,11,19,24,7
227,2018,3,11,19,39,7
228,2018,3,11,19,54,7
229,2018,3,11,20,9,7
230,2018,3,11,20,24,7
231,2018,3,11,20,39,7
232,2018,3,11,20,54,7
233,2018,3,11,21,9,7
234,2018,3,11,21,24,7
235,2018,3,11,21,39,7
236,2018,3,11,21,54,7
237,2018,3,11,22,9,7
238,2018,3,11,22,24,7
239,2018,3,11,22,39,7
240,2018,3,11,22,54,7
241,2018,3,11,23,9,7
242,2018,3,11,23,24,7
243,2018,3,11,23,39,7
244,2018,3,11,23,54,7
245,2018,3,12,0,9,7
246,2018,3,12,0,24,7
247,2018,3,12,0,39,7
248,2018,3,12,0,54,7
249,2018,3,12,1,9,7
250,2018,3,12,1,24,7
251,2018,3,12,1,39,7
252,2018,3,12,1,54,7
253,2018,3,12,2,9,7
254,2018,3,12,2,24,7
255,2018,3,12,2,39,7
256,2018,3,12,2,54,7
257,2018,3,12,3,9,7
258,2018,3,12,3,24,7
259,2018,3,12,3,39,7
260,2018,3,12,3,54,7
261,2018,3,12,4,9,7
262,2018,3,12,4,24,7
263,2018,3,12,4,39,7
264,2018,3,12,4,54,7
265,2018,3,12,5,9,7
266,2018,3,12,5,24,7
267,2018,3,12,5,39,7
268,2018,3,12,5,54,7
269,2018,3,12,6,9,7
270,2018,3,12,6,24,7
271,2018,3,12,6,39,7
272,2018,3,12,6,54,7
273,2018,3,12,7,9,7
274,2018,3,12,7,24,7
275,2018,3,12,7,39,7
276,2018,3,12,7,54,7
277,2018,3,12,8,9,7
278,2018,3,12,8,24,7
279,2018,3,12,8,39,7
280,2018,3,12,8,54,7
281,2018,3,12,9,9,7
282,2018,3,12,9,24,7
283,2018,3,12,9,39,7
284,2018,3,12,9,54,7
285,2018,3,12,10,9,7
286,2018,3,12,10,24,7
287,2018,3,12,10,39,7
288,2018,3,12,10,54,7
289,2018,3,12,11,9,7
290,2018,3,12,11,24,7
291,2018,3,12,11,39,7
292,2018,3,12,11,54,7
