index,year,month,day,hour,minute,target_temp
186,2018,3,11,9,15,7
187,2018,3,11,9,30,7
188,2018,3,11,9,45,7
189,2018,3,11,10,0,7
190,2018,3,11,10,15,7
191,2018,3,11,10,30,7
192,2018,3,11,10,45,7
193,2018,3,11,11,0,7
194,2018,3,11,11,15,7
195,2018,3,11,11,30,7
196,2018,3,11,11,45,7
197,2018,3,11,12,0,7
198,2018,3,11,12,15,7
199,2018,3,11,12,30,7
200,2018,3,11,12,45,7
201,2018,3,11,13,0,7
202,2018,3,11,13,15,7
203,2018,3,11,13,30,7
204,2018,3,11,13,45,7
205,2018,3,11,14,0,7
206,2018,3,11,14,15,7
207,2018,3,11,14,30,7
208,2018,3,11,14,45,7
209,2018,3,11,15,0,7
210,2018,3,11,15,15,7
211,2018,3,11,15,30,7
212,2018,3,11,15,45,7
213,2018,3,11,16,0,7
214,2018,3,11,16,15,7
215,2018,3,11,16,30,7
216,2018,3,11,16,45,7
217,2018,3,11,17,0,7
218,2018,3,11,17,15,7
219,2018,3,11,17,30,7
220,2018,3,11,17,45,7
221,2018,3,11,18,0,7
222,2018,3,11,18,15,7
223,2018,3,11,18,30,7
224,2018,3,11,18,45,7
225,2018,3,11,19,0,7
226,2018,3,11,19,15,7
227,2018,3,11,19,30,7
228,2018,3,11,19,45,7
229,2018,3,11,20,0,7
230,2018,3,11,20,15,7
231,2018,3,11,20,30,7
232,2018,3,11,20,45,7
233,2018,3,11,21,0,7
234,2018,3,11,21,15,7
235,2018,3,11,21,30,7
236,2018,3,11,21,45,7
237,2018,3,11,22,0,7
238,2018,3,11,22,15,7
239,2018,3,11,22,30,7
240,2018,3,11,22,45,7
241,2018,3,11,23,0,7
242,2018,3,11,23,15,7
243,2018,3,11,23,30,7
244,2018,3,11,23,45,7
245,2018,3,12,0,0,7
246,2018,3,12,0,15,7
247,2018,3,12,0,30,7
248,2018,3,12,0,45,7
249,2018,3,12,1,0,7
250,2018,3,12,1,15,7
251,2018,3,12,1,30,7
252,2018,3,12,1,45,7
253,2018,3,12,2,0,7
254,2018,3,12,2,15,7
255,2018,3,12,2,30,7
256,2018,3,12,2,45,7
257,2018,3,12,3,0,7
258,2018,3,12,3,15,7
259,2018,3,12,3,30,7
260,2018,3,12,3,45,7
261,2018,3,12,4,0,7
262,2018,3,12,4,15,7
263,2018,3,12,4,30,7
264,2018,3,12,4,45,7
265,2018,3,12,5,0,7
266,2018,3,12,5,15,7
267,2018,3,12,5,30,7
268,2018,3,12,5,45,7
269,2018,3,12,6,0,7
270,2018,3,12,6,15,7
271,2018,3,12,6,30,7
272,2018,3,12,6,45,7
273,2018,3,12,7,0,7
274,2018,3,12,7,15,7
275,2018,3,12,7,30,7
276,2018,3,12,7,45,7
277,2018,3,12,8,0,7
278,2018,3,12,8,15,7
279,2018,3,12,8,30,7
280,2018,3,12,8,45,7
281,2018,3,12,9,0,7
282,2018,3,12,9,15,7
283,2018,3,12,9,30,7
284,2018,3,12,9,45,7
285,2018,3,12,10,0,7
286,2018,3,12,10,15,7
287,2018,3,12,10,30,7
288,2018,3,12,10,45,7
289,2018,3,12,11,0,7
290,2018,3,12,11,15,7
291,2018,3,12,11,30,7
292,2018,3,12,11,45,7
293,2018,3,12,12,0,7
294,2018,3,12,12,15,7
295,2018,3,12,12,30,7
296,2018,3,12,12,45,7
297,2018,3,12,13,0,7
298,2018,3,12,13,15,7
299,2018,3,12,13,30,7
300,2018,3,12,13,45,7
301,2018,3,12,14,0,7
302,2018,3,12,14,15,7
303,2018,3,12,14,30,7
304,2018,3,12,14,45,7
305,2018,3,12,15,0,7
306,2018,3,12,15,15,7
307,2018,3,12,15,30,7
308,2018,3,12,15,45,7
309,2018,3,12,16,0,7
310,2018,3,12,16,15,7
311,2018,3,12,16,30,7
312,2018,3,12,16,45,7
313,2018,3,12,17,0,7
314,2018,3,12,17,15,7
315,2018,3,12,17,30,7
316,2018,3,12,17,45,7
317,2018,3,12,18,0,7
318,2018,3,12,18,15,7
319,2018,3,12,18,30,7
320,2018,3,12,18,45,7
321,2018,3,12,19,0,7
322,2018,3,12,19,15,7
323,2018,3,12,19,30,7
324,2018,3,12,19,45,7
325,2018,3,12,20,0,7
326,2018,3,12,20,15,7
327,2018,3,12,20,30,7
328,2018,3,12,20,45,7
329,2018,3,12,21,0,7
330,2018,3,12,21,15,7
331,2018,3,12,21,30,7
332,2018,3,12,21,45,7
333,2018,3,12,22,0,7
334,2018,3,12,22,15,7
335,2018,3,12,22,30,7
336,2018,3,12,22,45,7
337,2018,3,12,23,0,7
338,2018,3,12,23,15,7
339,2018,3,12,23,30,7
340,2018,3,12,23,45,7
341,2018,3,13,0,0,7
342,2018,3,13,0,15,7
343,2018,3,13,0,30,7
344,2018,3,13,0,45,7
345,2018,3,13,1,0,7
346,2018,3,13,1,15,7
347,2018,3,13,1,30,7
348,2018,3,13,1,45,7
349,2018,3,13,2,0,7
350,2018,3,13,2,15,7
351,2018,3,13,2,30,7
352,2018,3,13,2,45,7
353,2018,3,13,3,0,7
354,2018,3,13,3,15,7
355,2018,3,13,3,30,7
356,2018,3,13,3,45,7
357,2018,3,13,4,0,7
358,2018,3,13,4,15,7
359,2018,3,13,4,30,7
360,2018,3,13,4,45,7
361,2018,3,13,5,0,7
362,2018,3,13,5,15,7
363,2018,3,13,5,30,7
364,2018,3,13,5,45,7
365,2018,3,13,6,0,7
366,2018,3,13,6,15,7
367,2018,3,13,6,30,7
368,2018,3,13,6,45,7
369,2018,3,13,7,0,7
370,2018,3,13,7,15,7
371,2018,3,13,7,30,7
372,2018,3,13,7,45,7
373,2018,3,13,8,0,7
374,2018,3,13,8,15,7
375,2018,3,13,8,30,7
376,2018,3,13,8,45,7
377,2018,3,13,9,0,7
378,2018,3,13,9,15,7
379,2018,3,13,9,30,7
380,2018,3,13,9,45,7
381,2018,3,13,10,0,7
382,2018,3,13,10,15,7
383,2018,3,13,10,30,7
384,2018,3,13,10,45,7
385,2018,3,13,11,0,7
386,2018,3,13,11,15,7
387,2018,3,13,11,30,7
388,2018,3,13,11,45,7
389,2018,3,13,12,0,7
390,2018,3,13,12,15,7
391,2018,3,13,12,30,7
392,2018,3,13,12,45,7
393,2018,3,13,13,0,7
394,2018,3,13,13,15,7
395,2018,3,13,13,30,7
396,2018,3,13,13,45,7
397,2018,3,13,14,0,7
398,2018,3,13,14,15,7
399,2018,3,13,14,30,7
400,2018,3,13,14,45,7
401,2018,3,13,15,0,7
402,2018,3,13,15,15,7
403,2018,3,13,15,30,7
404,2018,3,13,15,45,7
405,2018,3,13,16,0,7
406,2018,3,13,16,15,7
407,2018,3,13,16,30,7
408,2018,3,13,16,45,7
409,2018,3,13,17,0,7
410,2018,3,13,17,15,7
411,2018,3,13,17,30,7
412,2018,3,13,17,45,7
413,2018,3,13,18,0,7
414,2018,3,13,18,15,7
415,2018,3,13,18,30,7
416,2018,3,13,18,45,7
417,2018,3,13,19,0,7
418,2018,3,13,19,15,7
419,2018,3,13,19,30,7
420,2018,3,13,19,45,7
421,2018,3,13,20,0,7
422,2018,3,13,20,15,7
423,2018,3,13,20,30,7
424,2018,3,13,20,45,7
425,2018,3,13,21,0,7
426,2018,3,13,21,15,7
427,2018,3,13,21,30,7
428,2018,3,13,21,45,7
429,2018,3,13,22,0,7
430,2018,3,13,22,15,7
431,2018,3,13,22,30,7
432,2018,3,13,22,45,7
433,2018,3,13,23,0,7
434,2018,3,13,23,15,7
435,2018,3,13,23,30,7
436,2018,3,13,23,45,7
437,2018,3,14,0,0,7
438,2018,3,14,0,15,7
439,2018,3,14,0,30,7
440,2018,3,14,0,45,7
441,2018,3,14,1,0,7
442,2018,3,14,1,15,7
443,2018,3,14,1,30,7
444,2018,3,14,1,45,7
445,2018,3,14,2,0,7
446,2018,3,14,2,15,7
447,2018,3,14,2,30,7
448,2018,3,14,2,45,7
449,2018,3,14,3,0,7.33
450,2018,3,14,3,15,8.63
451,2018,3,14,3,30,9.84
452,2018,3,14,3,45,10.96
453,2018,3,14,4,0,12
454,2018,3,14,4,15,12.95
455,2018,3,14,4,30,13.83
456,2018,3,14,4,45,14.63
457,2018,3,14,5,0,15.35
458,2018,3,14,5,15,16.01
459,2018,3,14,5,30,16.6
460,2018,3,14,5,45,17.13
461,2018,3,14,6,0,17.6
462,2018,3,14,6,15,18.02
463,2018,3,14,6,30,18.39
464,2018,3,14,6,45,18.7
465,2018,3,14,7,0,18.97
466,2018,3,14,7,15,19.2
467,2018,3,14,7,30,19.4
468,2018,3,14,7,45,19.56
469,2018,3,14,8,0,19.68
470,2018,3,14,8,15,19.78
471,2018,3,14,8,30,19.86
472,2018,3,14,8,45,19.91
473,2018,3,14,9,0,19.95
474,2018,3,14,9,15,19.98
475,2018,3,14,9,30,19.99
476,2018,3,14,9,45,20
477,2018,3,14,10,0,20
478,2018,3,14,10,15,18
479,2018,3,14,10,30,18
480,2018,3,14,10,45,18
481,2018,3,14,11,0,18
482,2018,3,14,11,15,18
483,2018,3,14,11,30,18
484,2018,3,14,11,45,18
485,2018,3,14,12,0,18
486,2018,3,14,12,15,18
487,2018,3,14,12,30,18
488,2018,3,14,12,45,18
489,2018,3,14,13,0,18
490,2018,3,14,13,15,18
491,2018,3,14,13,30,18
492,2018,3,14,13,45,18
493,2018,3,14,14,0,18
494,2018,3,14,14,15,18
495,2018,3,14,14,30,18
496,2018,3,14,14,45,18
497,2018,3,14,15,0,18
498,2018,3,14,15,15,18
499,2018,3,14,15,30,18
500,2018,3,14,15,45,18
501,2018,3,14,16,0,18
502,2018,3,14,16,15,7
503,2018,3,14,16,30,7
504,2018,3,14,16,45,7
505,2018,3,14,17,0,7
506,2018,3,14,17,15,7
507,2018,3,14,17,30,7
508,2018,3,14,17,45,7
509,2018,3,14,18,0,7
510,2018,3,14,18,15,7
511,2018,3,14,18,30,7
512,2018,3,14,18,45,7
513,2018,3,14,19,0,7
514,2018,3,14,19,15,7
515,2018,3,14,19,30,7
516,2018,3,14,19,45,7
517,2018,3,14,20,0,7
518,2018,3,14,20,15,7
519,2018,3,14,20,30,7
520,2018,3,14,20,45,7
521,2018,3,14,21,0,7
522,2018,3,14,21,15,7
523,2018,3,14,21,30,7
524,2018,3,14,21,45,7
525,2018,3,14,22,0,7
526,2018,3,14,22,15,7
527,2018,3,14,22,30,7
528,2018,3,14,22,45,7
529,2018,3,14,23,0,7
530,2018,3,14,23,15,7
531,2018,3,14,23,30,7
532,2018,3,14,23,45,7
533,2018,3,15,0,0,7
534,2018,3,15,0,15,7
535,2018,3,15,0,30,7
536,2018,3,15,0,45,7
537,2018,3,15,1,0,7
538,2018,3,15,1,15,7
539,2018,3,15,1,30,7
540,2018,3,15,1,45,7
541,2018,3,15,2,0,7
542,2018,3,15,2,15,7
543,2018,3,15,2,30,7
544,2018,3,15,2,45,7
545,2018,3,15,3,0,7.33
546,2018,3,15,3,15,8.63
547,2018,3,15,3,30,9.84
548,2018,3,15,3,45,10.96
549,2018,3,15,4,0,12
550,2018,3,15,4,15,12.95
551,2018,3,15,4,30,13.83
552,2018,3,15,4,45,14.63
553,2018,3,15,5,0,15.35
554,2018,3,15,5,15,16.01
555,2018,3,15,5,30,16.6
556,2018,3,15,5,45,17.13
557,2018,3,15,6,0,17.6
558,2018,3,15,6,15,18.02
